"S.N","Scrip","Current Balance","Last Closing Price","Value as of Last Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","API","117.0","304.55","35632.35","304.9","35673.30"
"2","CBBL","35.0","1050.15","36755.25","1050.2","36757.00"
"3","DORDI","10.0","335.94","3359.40","334.0","3340.00"
"4","GBIME","301.0","264.56","79632.56","264.5","79614.50"
"5","GHL","50.0","261.41","13070.50","262.0","13100.00"
"6","HDL","25.0","1270.14","31753.50","1270.0","31750.00"
"7","HLI","12.0","419.6","5035.20","419.1","5029.20"
"8","HRL","10.0","973.92","9739.20","979.9","9799.00"
"9","JBBL","22.0","359.93","7918.46","360.0","7920.00"
"10","KBL","21.0","221.77","4657.17","222.7","4676.70"
"11","KKHC","20.0","297.81","5956.20","298.0","5960.00"
"12","MEL","10.0","324.1","3241.00","325.0","3250.00"
"13","MKJC","10.0","544.09","5440.90","541.1","5411.00"
"14","NABIL","303.0","548.66","166243.98","550.5","166801.50"
"15","NIBLSF","8886.0","11.28","100234.08","11.28","100234.08"
"16","NICADF","100.0","10.57","1057.00","10.57","1057.00"
"17","NICL","11.0","665.23","7317.53","665.0","7315.00"
"18","NIFRA","54.0","293.54","15851.16","294.5","15903.00"
"19","NLIC","11.0","807.89","8886.79","809.0","8899.00"
"20","RFPL","10.0","640.22","6402.20","639.0","6390.00"
"21","SANIMA","70.0","374.37","26205.90","376.5","26355.00"
"22","SGIC","10.0","615.69","6156.90","616.0","6160.00"
"23","SJLIC","10.0","462.0","4620.00","462.0","4620.00"
"24","SMJC","10.0","553.44","5534.40","554.8","5548.00"
"25","SRLI","12.0","424.3","5091.60","425.0","5100.00"
"26","SSHL","30.0","263.69","7910.70","264.0","7920.00"
"27","TAMOR","10.0","529.71","5297.10","532.0","5320.00"
"28","UHEWA","10.0","624.07","6240.70","623.0","6230.00"
"Total :"," "," "," ","615241.73"," ","616133.28"
